cancion_MartaQuintero_108,¡,,,,,,,,,,,,,,,,,Oh,", la saeta, ",el ,"cantar
 ",,"al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",que ,"todas las primaveras
 ",,"anda pidiendo escaleras
 para subir a la cruz","!
 ¡",,,"Cantar de la tierra mía,
 que echa flores
 al Jesús de la agonía,
 ",y ,es ,la fe de mis mayores,,"!
 ¡",Oh,", no eres tú mi cantar","!
 ¡",No ,"puedo cantar, ni ","quiero
 ",,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,! [estrofa x ,2,"]
 ¡",Oh,,,", ",no ,eres tú mi ,cantar,"!
 ¡",Ay,,,", ",ay,,,,,,,,,", ",ay,,,,,,,"!
 ¡",Oh,", no ",eres tú mi ,"cantar!
 ¡",Ahhhhhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!,,,,,,,,,,,,,,,,,,,,,,
cancion_PepeSuero_125,,,,Dice ,una ,"voz popular:
 “¿",Quién ,me ,presta una escalera,",
 para subir ",al madero,",
 para ","quitarle los clavos
 a Jesús el ",Nazareno,"?”
 ¡",,,Oh,", la saeta, ",el ,"cantar
 ",,"al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",que ,"todas las primaveras
 ",,"anda pidiendo escaleras
 para subir a la cruz","!
 ¡",,,"Cantar de la tierra mía,
 que echa flores
 al Jesús de la agonía,
 ",y ,es ,la fe de mis mayores,,"!
 ¡",Oh,", no eres tú mi cantar","!
 ¡",No ,"puedo cantar, ni ","quiero
 ",,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,! [estrofa x ,2,"]
 ¡",Oh,,,", ",no ,eres tú mi ,cantar,"!
 ¡",Cantar ,de ,la tierra mía,",
 ",,,,,,que ,"echa flores
 ",al ,Jesús de la agonía,",
 ",y ,es ,,la ,fe ,de ,mis mayores,"!
 ¡",Oh,", no ",eres tú mi ,"cantar!
 ¡",,No ,puedo ,cantar,", ",ni ,"quiero
 ",a ,ese ,Jesús ,del ,madero,,",
 ",sino ,al ,que anduvo en ,,,la ,mar,! [,estrofa ,x ,2,"]
 ¡",Oh,,,,,,,,,,,,,,,", ",no ,,,eres tú mi cantar,!,,,,,,,,,,,,,,,,,,,,,,
cancion_IndiaMartínez_121,¿,,,,,,Quién ,me ,presta una escalera,",
 para subir ",al madero,",
 para ","quitarle los clavos
 a Jesús el ",Nazareno,"?
 ¡",,,Oh,", la saeta, ",el ,"cantar
 ",,"al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",que ,"todas las primaveras
 ",,"anda pidiendo escaleras
 para subir a la cruz","!
 ¡",,,"Cantar de la tierra mía,
 que echa flores
 al Jesús de la agonía,
 ",y ,es ,la fe de mis mayores,,"!
 ¡",Oh,", no eres tú mi cantar","!
 ¡",No ,"puedo cantar, ni ","quiero
 ",,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,! [estrofa x ,4,"]
 [",Texto añadido ,en el ,videoclip,", ",no ,"cantado. Según informa el diario ABC, se
                    trata ",,,,de ,una dedicatoria “,,,,,a ,todas aquellas personas ,que ,"lo están pasando mal por
                    el coronavirus”, ",en ,referencia a ,,,,,la ,pandemia de Covid-19 ,de ,"2020]
 En la vulnerabilidad se halla nuestra fortaleza",,,,,,. ,Fortaleza que ,se ,"alimenta del
                    hecho de haber perdido ",el ,miedo ,,a ,sufrir. Rezo a ,,,la ,humanidad,", ","a la madre
                    naturaleza",,,", ",a ,la ,fe ,de ,nuestros ,mayores ,,,y ,a las nuevas generaciones,,,,,. ,"A todo
                    aquel ",,,,,,que ,se mueve,", ",que anda y camina ,,por ,el ,mundo haciendo ,,,,,,,,,,de ,"sus acciones
                    obras",,,,,,.,,,,,
cancion_Argentina_109,¡,,,,,,,,,,,,,,,,,Oh,", la saeta, ",el ,"cantar
 ",,"al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",que ,"todas las primaveras
 ",,"anda pidiendo escaleras
 para subir a la cruz","!
 ¡",,,"Cantar de la tierra mía,
 que echa flores
 al Jesús de la agonía,
 ",y ,es ,la fe de mis mayores,,"!
 ¡",Oh,", no eres tú mi cantar","!
 ¡",No ,"puedo cantar, ni ","quiero
 ",,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,! [estrofa x ,2,"]
 ¡",,,,,,,,,Cantar ,de ,la tierra mía,",
 ",,,,,,que ,"echa flores
 ",al ,Jesús de la agonía,",
 ",y ,es ,,la ,fe ,de ,mis mayores,"!
 [",Saeta añadida,"]
 ¡",Ay! ¡Ay! ¡,Ay,"!
 ¿Por qué no te detienes?
 ¿Por qué no te detienes en ",,,,,,,,,,,la ,venta,"!
 ¡","Ay! ¡Ay! ¡Ay!
 Y no maltratas [incomprensible",,,,,,,,,,,"]
 ",y ,"te dará mucho dinero
 para ",que ,aumente,",
 ",es tu caudal,".
 ","Y te dará mucho dinero
 ",,,para ,,,que ,aumente,",
 ",es tu caudal,",
 ",para ,el ,"alma.
 Y ministro ",de ,Cristo,,,,,,",
 ",tronco ,de ,"Nuestra Madre
 Iglesia ",Santa,",
 ",y Árbol del Paraíso,,,.,,,,,
cancion_AgrupacionesmusicalesdeSemanaSanta_104,Instrumental: marcha ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de ,procesión ,,,,,,,,de ,Semana ,Santa,,,,,.,,,,,
poema,¿,,,,,,Quién ,me ,presta una escalera,",
para subir ",al madero,",
para ","quitarle los clavos
a Jesús el ",Nazareno,"?
Saeta popular
",¡,,Oh,", la saeta, ",el ,"cantar
",,"al Cristo de los gitanos,
siempre con sangre en ",las manos,",
siempre por desenclavar","!
¡",Cantar del pueblo andaluz,",
",que ,"todas las primaveras
",,"anda pidiendo escaleras
para subir a la cruz","!
¡",,,"Cantar de la tierra mía,
que echa flores
al Jesús de la agonía,
",y ,es ,la fe de mis mayores,"!
¡",,Oh,", no eres tú mi cantar","!
¡",No ,"puedo cantar, ni ","quiero
",,a ese Jesús del madero,",
",sino al que anduvo ,,,,,,,,,,,,,,,,,,,,,,,,,,en ,,,,,,,,,,,,,,,,,,,el ,,,,,,,,,,,,,,,,mar,,,,,,,,,,,,,,,,,,,,,,,,,,!,,,,,,,,,,,,,,,,,,,,,,
cancion_JuanD'Alba_117,"Cabellos largos,
 igual que yo.
 Tú eres Cristo,
 hijo de Dios.
 Tanta belleza
 hay en tu mirar;
 con tu presencia,
 me hace llorar.
 ",,,Dice ,una ,"voz popular:
 “¿",Quién ,me ,presta una escalera,",
 para subir ",al madero,",
 para ","quitarle los clavos
 a Jesús el ",Nazareno,"?”
 ¡",Ay,,,", la saeta, ",al ,cantar,",
 ay, ","al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",que ,"todas las primaveras
 ",,"anda pidiendo escaleras
 para subir a la cruz",,,,,,,,,"!
 ¡",Oh,", no eres tú mi cantar","!
 ¡",No ,"puedo cantar, ni ","quiero
 ",,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,,,,,,,,,,,"!
 ¡",Cantar ,de ,la tierra mía,",
 ",y ,,,,,,"echa flores
 ",al ,Jesús de la agonía,",
 ",que ,es ,,la ,fe ,de ,mis mayores,"!
 ¡",,,,Ay,,,,,", ",,,,,,,la ,saeta,", ",,al ,cantar,",
 ","ay, ",,al Cristo ,de ,los gitanos,,,,,,,,",
 ",siempre con sangre en ,las ,manos,,,,,,,,",
 ","siempre…
 siempre ",,por ,desenclavar,"!
 ¡",Ahhh,!,,,,,,,,,,,,,,,,,,,,
cancion_JarayGranito_120,Dijo ,,,,una ,"voz popular:
 “¿",Quién ,me ,presta una escalera,",
 para subir ",al madero,",
 para ","quitarle los clavos
 a Jesús el ",Nazareno,"?”
 ¡",,,Oh,", la saeta, ",el ,"cantar
 ",,"al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",que ,"todas las primaveras
 ",,"anda pidiendo escaleras
 para subir a la cruz","!
 ¡",,,"Cantar de la tierra mía,
 que echa flores
 al Jesús de la agonía,
 ",y ,es ,la fe de mis mayores,,"!
 ¡",Oh,", no eres tú mi cantar","!
 ¡",No ,"puedo cantar, ni ","quiero
 ",,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,! [estrofa x ,2,"]
 ¡",,,,,,,,,Cantar ,de ,la tierra mía,",
 ",,,,,,que ,"echa flores
 ",al ,Jesús de la agonía,",
 ",y ,es ,,la ,fe ,de ,mis mayores,"!
 ¡",Oh,", no ",eres tú mi ,"cantar!
 ¡",,No ,puedo ,cantar,", ",ni ,"quiero
 ",a ,ese ,Jesús ,del ,madero,,",
 ",sino ,al ,que anduvo en ,,,la ,mar,! [,estrofa ,x ,4,],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cancion_AntonioyPilarBogado_110,¿,,,,,,Quién ,me ,presta una escalera,",
 para subir ",al madero,",
 para ","quitarle los clavos
 a Jesús el ",Nazareno,"?
 ¡",,,Oh,", la saeta, ",el ,"cantar
 ",,"al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",que ,"todas las primaveras
 ",,"anda pidiendo escaleras
 para subir a la cruz","!
 ¡",,,"Cantar de la tierra mía,
 que echa flores
 al Jesús de la agonía,
 ",y ,es ,la fe de mis mayores,,"!
 ¡",Oh,", no eres tú mi cantar","!
 ¡",No ,"puedo cantar, ni ","quiero
 ",,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,! [estrofa x ,2,"]
 ¡",,,,,,,,,Cantar ,de ,la tierra mía,",
 ",,,,,,que ,"echa flores
 ",al ,Jesús de la agonía,",
 ",y ,es ,,la ,fe ,de ,mis mayores,"!
 ¡",Oh,", no ",eres tú mi ,"cantar!
 ¡",,No ,puedo ,cantar,", ",ni ,"quiero
 ",a ,ese ,Jesús ,del ,madero,,",
 ",sino ,al ,que anduvo en ,,,la ,mar,! [,estrofa ,x ,2,"]
 ¡",Oh,,,,,,,,,,,,,,,", ",no ,,,eres tú mi cantar,,,!,,,,,,,,,,,,,,,,,,,,
cancion_ElPele_130,Dijo ,,,,una ,"voz popular:
 “¿",Quién ,me ,presta una escalera,",
 para subir ",al madero,",
 para ","quitarle los clavos
 a Jesús el ",Nazareno,"?”
 ¡",,,Oh,", la saeta, ",el ,"cantar
 ",,"al Cristo de los gitanos,
 siempre con sangre en ",las manos,",
 siempre por desenclavar","!
 ¡",Cantar del pueblo andaluz,",
 ",,"todas las primaveras
 ",y ,"anda pidiendo escaleras
 para subir a la cruz","!
 ¡",,,"Cantar de la tierra mía,
 que echa flores
 al Jesús de la agonía,
 ",y ,es ,la fe de mis mayores,"!
 ¡Ohhh","!
 ¡",Oh,", no eres tú mi cantar","!
 ¡","Ah, yo no ","puedo cantar, ni ","quiero
 ",y ,a ese Jesús del madero,",
 ",sino al que anduvo ,en ,la ,mar,"!
 ¡",,,Oh,,,", ",no ,eres tú mi ,cantar,"!
 ¡",Que yo no ,puedo ,cantar,", ",ni ,"quiero
 ",y ,a ,"ese Jesús del madero,
 sino ",,,al ,,,que ,anduvo ,en ,la ,mar,,,"!
 [",Coro] No ,,eres tú mi ,canta,".
 ",No ,puedo ,cantar,", ",ni ,"quiero
 ",a ,ese ,Jesús ,del ,madero,,",
 ",sino ,al ,que anduvo en ,,el ,,mar,".
 ¡",Oh,", ",no eres tú mi ,cantar,"!
 ¡",Que yo no puedo ,cantar,,", ",ni ,"puedo
 ",y ,a ese Jesús del madero,",
 ",sino ,,al ,que ,anduvo ,en ,el ,mar,"!
 ¡Tú ",eres tú mi cantar,"!
 ¡",Yo quiero ,"cantar, ni ","puedo
 y ",a ,ese ,Jesús ,del madero,",
 ",sino al que anduvo en ,el ,mar,"!
 [Coro",] ,No ,eres tú mi ,cantar,".
 ",No puedo ,cantar ,,ni quiero,…
